field_study_id,field_study_name
1,Agriculture & Related Sciences
2,Architecture & Related Services
3,"Area, Ethnic, Cultural, Gender & Group Studies"
4,Basic Skills & Developmental or Remedial Education
5,Biological & Biomedical Sciences
6,"Business, Management & Marketing"
7,"Communication, Journalism & Related Programs"
8,Communications Technologies
9,Computer & Information Sciences
10,Construction Trades
11,Education
12,Engineering
13,Engineering Technologies
14,English Language & Literature or Letters
15,Family & Consumer Sciences or Human Sciences
16,"Foreign Languages, Literature & Linguistics"
17,General
18,Health Professions & Related Programs
19,Health Related Knowledge & Skills
20,High School or Secondary Diplomas & Certificates
21,History
22,Interpersonal & Social Skills
23,Legal Professions & Studies
24,Leisure & Recreational Activities
25,"Liberal Arts & Sciences, General Studies & Humanities"
26,Library Science
27,Mathematics & Statistics
28,Mechanic & Repair Technologies
29,"Military Science, Leadership & Operational Art"
30,Military Technologies & Applied Sciences
31,Multi or Interdisciplinary Studies
32,Natural Resources & Conservation
33,"Parks, Recreation, Leisure & Fitness Studies"
34,Personal & Culinary Services
35,Philosophy & Religious Studies
36,Physical Sciences
37,Precision Production
38,Psychology
39,Public Administration & Social Service Professions
40,Residency Programs
41,Science Technologies
42,Security & Protective Services
43,Social Sciences
44,Theology & Religious Vocations
45,Transportation & Materials Moving
46,Visual & Performing Arts
