industry_id,industry_name
1,Accounting
2,Agriculture
3,Airlines/Aviation
4,Alternative Dispute Resolution
5,Alternative Medicine
6,Animation
7,Apparel & Fashion
8,Architecture & Planning
9,Arts And Crafts
10,Automotive
11,Aviation & Aerospace
12,Banking
13,Biotechnology
14,Broadcast Media
15,Building Materials
16,Business Supplies And Equipment
17,Capital Markets
18,Chemicals
19,Civic & Social Organization
20,Civil Engineering
21,Commercial Real Estate
22,Computer & Network Security
23,Computer Games
24,Computer Hardware
25,Computer Networking
26,Computer Software
27,Construction
28,Consumer Electronics
29,Consumer Goods
30,Consumer Services
31,Cosmetics
32,Dairy
33,Defense & Space
34,Design
35,E-Learning
36,Education Management
37,Electrical/Electronic Manufactur...
38,Entertainment
39,Environmental Services
40,Events Services
41,Executive Office
42,Facilities Services
43,Farming
44,Financial Services
45,Fine Art
46,Fishery
47,Food & Beverages
48,Food Production
49,Fund-Raising
50,Furniture
51,Gambling & Casinos
52,"Glass, Ceramics & Concrete"
53,Government Administration
54,Government Relations
55,Graphic Design
56,"Health, Wellness And Fitness"
57,Higher Education
58,Hospital & Health Care
59,Hospitality
60,Human Resources
61,Import And Export
62,Individual & Family Services
63,Industrial Automation
64,Information Services
65,Information Technology And Servi...
66,Insurance
67,International Affairs
68,International Trade And Developm...
69,Internet
70,Investment Banking
71,Investment Management
72,Judiciary
73,Law Enforcement
74,Law Practice
75,Legal Services
76,Legislative Office
77,"Leisure, Travel & Tourism"
78,Libraries
79,Logistics And Supply Chain
80,Luxury Goods & Jewelry
81,Machinery
82,Management Consulting
83,Maritime
84,Market Research
85,Marketing And Advertising
86,Mechanical Or Industrial Enginee...
87,Media Production
88,Medical Devices
89,Medical Practice
90,Mental Health Care
91,Military
92,Mining & Metals
93,More Filters
94,Motion Pictures And Film
95,Museums And Institutions
96,Music
97,Nanotechnology
98,Newspapers
99,Nonprofit Organization Managemen...
100,Oil & Energy
101,Online Media
102,Outsourcing/Offshoring
103,Package/Freight Delivery
104,Packaging And Containers
105,Paper & Forest Products
106,Performing Arts
107,Pharmaceuticals
108,Philanthropy
109,Photography
110,Plastics
111,Political Organization
112,Primary/Secondary Education
113,Printing
114,Professional Training & Coaching
115,Program Development
116,Public Policy
117,Public Relations And Communicati...
118,Public Safety
119,Publishing
120,Railroad Manufacture
121,Ranching
122,Real Estate
123,Recreational Facilities And Serv...
124,Religious Institutions
125,Renewables & Environment
126,Research
127,Restaurants
128,Retail
129,Security And Investigations
130,Semiconductors
131,Shipbuilding
132,Sporting Goods
133,Sports
134,Staffing And Recruiting
135,Supermarkets
136,Telecommunications
137,Textiles
138,Think Tanks
139,Tobacco
140,Translation And Localization
141,Transportation/Trucking/Railroad
142,Utilities
143,Venture Capital & Private Equity
144,Veterinary
145,Warehousing
146,Wholesale
147,Wine And Spirits
148,Wireless
149,Writing And Editing
