major_id,major_name,field_study_id,is_stem,field_study_name
1, Accounting,6,,"Business, Management & Marketing"
2, Accounting & Finance,6,,"Business, Management & Marketing"
3, Accounting Information Systems,31,,Multi or Interdisciplinary Studies
4, Acting,46,,Visual & Performing Arts
5, Acute Care,40,,Residency Programs
6, Addiction Studies,19,,Health Related Knowledge & Skills
7, Administration of Justice,42,,Security & Protective Services
8, Adult Education & Training,11,,Education
9, Adult Nurse Practitioner Studies,18,,Health Professions & Related Programs
10, Advanced Military & Operational Studies,29,,"Military Science, Leadership & Operational Art"
11, Advertising,7,,"Communication, Journalism & Related Programs"
12, Advertising & Graphic Design,46,,Visual & Performing Arts
13, Advertising & Marketing Communications,7,,"Communication, Journalism & Related Programs"
14, Aeronautical/Aerospace Engineering Technology,13,TRUE,Engineering Technologies
15, Aerospace Engineering,12,TRUE,Engineering
16, Aerospace Ground Equipment Technology,30,,Military Technologies & Applied Sciences
17, Aesthetician Studies,34,,Personal & Culinary Services
18, African American & African Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
19, African Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
20, Agribusiness,1,TRUE,Agriculture & Related Sciences
21, Agribusiness Management,1,TRUE,Agriculture & Related Sciences
22, Agricultural & Horticultural Plant Breeding,1,TRUE,Agriculture & Related Sciences
23, Agricultural & Resource Economics,1,TRUE,Agriculture & Related Sciences
24, Agricultural Business,1,TRUE,Agriculture & Related Sciences
25, Agricultural Communication,1,TRUE,Agriculture & Related Sciences
26, Agricultural Economics,1,TRUE,Agriculture & Related Sciences
27, Agricultural Economics & Business,1,TRUE,Agriculture & Related Sciences
28, Agricultural Equipment Systems Management,1,TRUE,Agriculture & Related Sciences
29, Agricultural Journalism,1,TRUE,Agriculture & Related Sciences
30, Agricultural Science,1,TRUE,Agriculture & Related Sciences
31, Agricultural Systems Technology,1,TRUE,Agriculture & Related Sciences
32, Agriculture,1,TRUE,Agriculture & Related Sciences
33, Agronomy,1,TRUE,Agriculture & Related Sciences
34, Air & Space Operations Technology,30,,Military Technologies & Applied Sciences
35, Air Traffic Control,45,,Transportation & Materials Moving
36, Air Traffic Management,45,,Transportation & Materials Moving
37, Air Transport Management,45,,Transportation & Materials Moving
38, Aircraft Armament Systems Technology,30,,Military Technologies & Applied Sciences
39, Airframe & Powerplant Technology,28,,Mechanic & Repair Technologies
40, Airport Management,45,,Transportation & Materials Moving
41, Alcohol & Drug Studies,19,,Health Related Knowledge & Skills
42, American History (United States),21,,History
43, American Literature (United States),14,,English Language & Literature or Letters
44, American Sign Language (ASL),16,,"Foreign Languages, Literature & Linguistics"
45, American Sign Language Interpreting,16,,"Foreign Languages, Literature & Linguistics"
46, American Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
47, Analytical Chemistry,36,TRUE,Physical Sciences
48, Ancient/Classical Greek Language,16,,"Foreign Languages, Literature & Linguistics"
49, Anesthiology,40,,Residency Programs
50, Animal Nutrition,1,TRUE,Agriculture & Related Sciences
51, Animal Science,1,TRUE,Agriculture & Related Sciences
52, Animal Science & Management,1,TRUE,Agriculture & Related Sciences
53, Animal/Livestock Husbandry & Production,1,TRUE,Agriculture & Related Sciences
54, Anthropology,43,,Social Sciences
55, Apparel & Textile Manufacture,15,,Family & Consumer Sciences or Human Sciences
56, Appliance Installation & Repair Technology,28,,Mechanic & Repair Technologies
57, Applied Behavior Analysis,38,TRUE,Psychology
58, Applied Economics,43,,Social Sciences
59, Applied Ethics,35,,Philosophy & Religious Studies
60, Applied Geology,36,TRUE,Physical Sciences
61, Applied Intelligence,30,,Military Technologies & Applied Sciences
62, Applied Linguistics,16,,"Foreign Languages, Literature & Linguistics"
