product_id,product_name,category_id,product_category
1,.NET Developers,28,Professional Services
2,.NET Integrated Development Environments (IDE),13,Development
3,360 Feedback Tools Software,20,HR
4,3D Design Software,12,Design
5,3D Modeling Software,12,Design
6,3D Painting Software,12,Design
7,3D Parts Catalog Software,16,ERP
8,3D Printing Software,6,CAD & PLM
9,3D Rendering Software,12,Design
10,3D Web Design Services Providers,28,Professional Services
11,3PL Software,37,Supply Chain & Logistics
12,401(k) Software,20,HR
13,409A Valuations Providers Service,5,Business Services
14,A/B Testing Software,24,Marketing
15,AB Tasty Consulting Providers,28,Professional Services
16,Absence Management Software,20,HR
17,Academic Advising Software,41,Vertical Industry
18,Academic Scheduling Software,41,Vertical Industry
19,Account Data Management Software,24,Marketing
20,Account-Based Advertising Software,24,Marketing
21,Account-Based Analytics Software,24,Marketing
22,Account-Based Data Software,24,Marketing
23,Account-Based Direct Mail Software,24,Marketing
24,Account-Based Execution Software,24,Marketing
25,Account-Based Marketing Consulting Providers,28,Professional Services
26,Account-Based Marketing Software,24,Marketing
27,Account-Based Orchestration Platforms,24,Marketing
28,Account-Based Web and Content Experiences Software,24,Marketing
29,Accounting & Finance Software,16,ERP
30,Accounting Firms,5,Business Services
31,Accounting Practice Management Software,16,ERP
32,Accounting Software,16,ERP
33,Accounts Payable (AP) & Spend Analysis Software,16,ERP
34,Accounts Payable Automation Software,16,ERP
35,Accounts Receivable Automation Software,16,ERP
36,Active Metadata Management Software,22,IT Infrastructure
37,Acumatica Channel Partners,40,Value-Added Resellers (VARs)
38,Acumatica Consulting Providers,28,Professional Services
39,Acumatica ERP Consulting Providers,28,Professional Services
40,Ad Intelligence Software,14,Digital Advertising
41,Ad Network Software,14,Digital Advertising
42,Address Verification Software,22,IT Infrastructure
43,Admission-Based Nonprofit Software,41,Vertical Industry
44,Admissions and Enrollment Management Software,41,Vertical Industry
45,Adobe Channel Partners,40,Value-Added Resellers (VARs)
46,ADP Marketplace Apps Software,26,Office
47,Advanced Distribution Management Systems,41,Vertical Industry
48,Advanced Planning and Scheduling (APS) Software,16,ERP
49,Advanced Threat Protection (ATP) Hardware,33,Security Hardware
50,Advertiser Campaign Management Software,14,Digital Advertising
51,Advertising Agencies,25,Marketing Services
52,Affiliate Marketing Agencies,25,Marketing Services
53,Affiliate Marketing Software,24,Marketing
54,Age Verification Software,8,Commerce
55,Agile Project Management Software,7,Collaboration & Productivity
56,Agriculture Software,41,Vertical Industry
57,AI & Machine Learning Operationalization (MLOps) Software,3,Artificial Intelligence
58,AI Development Services Providers,28,Professional Services
59,AI Sales Assistant Software,30,Sales
60,AI Writing Assistants,26,Office
61,AIOps Platforms,22,IT Infrastructure
62,Airline Reservations Software,41,Vertical Industry
63,Airline Route Planning Software,41,Vertical Industry
64,All-Flash Arrays (AFA) Hardware,36,Storage
65,ALM Software Suites,13,Development
66,Alumni Management Software,41,Vertical Industry
67,Amazon Aurora Consulting Providers,28,Professional Services
68,Amazon CloudFront Consulting Providers,28,Professional Services
69,Amazon DynamoDB Consulting Providers,28,Professional Services
70,Amazon EC2 Consulting Providers,28,Professional Services
71,Amazon EMR Consulting Providers,28,Professional Services
72,Amazon Kinesis Consulting Providers,28,Professional Services
73,Amazon Marketing Services Providers,25,Marketing Services
74,Amazon RDS Consulting Providers,28,Professional Services
75,Amazon Redshift Consulting Providers,28,Professional Services
76,Amazon S3 Consulting Providers,28,Professional Services
77,Amazon Web Services Channel Partners,40,Value-Added Resellers (VARs)
78,Amazon Web Services Consulting Providers,28,Professional Services
79,Ambulatory Software,41,Vertical Industry
80,Amusement Park Management Software,41,Vertical Industry
81,Analytics Platforms,1,Analytics
82,Ancillary Care Providers,27,Other Services
83,Android Developers,28,Professional Services
84,Animation Software,12,Design
85,Anti Money Laundering Software,17,"Governance, Risk & Compliance"
86,Antivirus Software,31,Security
87,API Design Tools,13,Development
88,API Management Tools,13,Development
89,API Marketplaces,13,Development
90,API Security Tools,31,Security
91,App Localization Providers,39,Translation Services
92,App Monetization Software,14,Digital Advertising
93,App Store Optimization Software,24,Marketing
94,Apparel Business Management and ERP Software,41,Vertical Industry
95,Apparel Design Software,41,Vertical Industry
96,Apparel Software,41,Vertical Industry
97,Applicant Tracking Systems (ATS),20,HR
98,Application Development Platforms,13,Development
99,Application Development Software,13,Development
100,Application Performance Monitoring (APM) Tools,22,IT Infrastructure
101,Application Portfolio Management Software,23,IT Management
102,Application Release Orchestration (ARO) Tools,13,Development
103,Application Security Services Providers,32,Security and Privacy Services
104,Application Security Software,31,Security
105,Application Server Software,22,IT Infrastructure
106,Application Shielding Software,31,Security
107,Appointment Reminder Software,10,Customer Service
108,AR Collaboration Tools,2,AR/VR
109,AR WYSIWYG Editor Software,2,AR/VR
110,Architectural Rendering Software,41,Vertical Industry
111,Architecture Software,41,Vertical Industry
112,Archive Storage Software,22,IT Infrastructure
113,Armory Management Software,41,Vertical Industry
114,Artificial Intelligence Consulting Providers,28,Professional Services
115,Artificial Neural Network Software,3,Artificial Intelligence
116,Assessment Software,41,Vertical Industry
117,Asset Leasing Software,16,ERP
118,Asset Management Software,16,ERP
119,Asset Performance Management Software,16,ERP
120,Asset Tokenization Platforms,22,IT Infrastructure
121,Asset Tracking Software,16,ERP
122,Assisted Living Software,41,Vertical Industry
123,Association Management Software,41,Vertical Industry
124,Athlete Management Software,41,Vertical Industry
125,Athletic Competition Management Software,41,Vertical Industry
126,Attack Surface Management Software,31,Security
127,Attribution Software,24,Marketing
128,Auction Software,41,Vertical Industry
129,Audience Intelligence Platforms,24,Marketing
130,Audience Response Software,24,Marketing
131,Audio Conferencing Software,7,Collaboration & Productivity
132,Audio Editing Software,12,Design
133,Audio Engine Software,13,Development
134,Audio Translation Services,39,Translation Services
135,Audit Management Software,17,"Governance, Risk & Compliance"
136,Auditing Services Providers,5,Business Services
137,Augmented Reality (AR) Content Management Systems,2,AR/VR
138,Augmented Reality (AR) Development Software,2,AR/VR
139,Augmented Reality (AR) Game Engine,2,AR/VR
140,Augmented Reality (AR) SDK Software,2,AR/VR
141,Augmented Reality (AR) Training Simulator Software,2,AR/VR
142,Augmented Reality (AR) Visualization Software,2,AR/VR
143,Augmented Reality Software,2,AR/VR
144,Auto Dialer Software,30,Sales
145,Auto Repair Software,41,Vertical Industry
146,Autodesk Channel Partners,40,Value-Added Resellers (VARs)
147,Autodesk Construction Cloud Integration Partners,26,Office
148,Automation Testing,13,Development
149,Automotive Digital Retailing Software,41,Vertical Industry
150,Automotive Marketing Software,41,Vertical Industry
151,Automotive Software,41,Vertical Industry
152,Aviation Authoring Software,41,Vertical Industry
153,Aviation Compliance Monitoring Software,41,Vertical Industry
154,Aviation Document Distribution Software,41,Vertical Industry
155,Aviation MRO Software,41,Vertical Industry
156,Aviation Software,41,Vertical Industry
157,Awards Management Software,41,Vertical Industry
158,AWS Lambda Consulting Providers,28,Professional Services
159,AWS Marketplace Software,26,Office
160,AWS WAF Consulting Providers,28,Professional Services
161,B2B Services Review Platforms,24,Marketing
162,Background Check Software,20,HR
163,Backup Software,23,IT Management
164,Backup Solution Suites Software,23,IT Management
165,Bakery Software,41,Vertical Industry
166,Barcode Software,37,Supply Chain & Logistics
167,Batch Management Software,13,Development
168,Batteries,18,Greentech
169,Battery Storage Systems Providers,18,Greentech
170,Benefits Administration Software,20,HR
171,Benefits Consulting Providers,5,Business Services
172,Benefits Support Software,20,HR
173,Bid Management Software,41,Vertical Industry
174,Big Data Analytics Software,22,IT Infrastructure
175,Big Data Integration Platforms,22,IT Infrastructure
176,Big Data Processing And Distribution Systems,22,IT Infrastructure
177,Big Data Software,22,IT Infrastructure
178,Billing and Invoicing Software,39,Translation Services
179,Billing Software,16,ERP
180,BIM Objects Software,6,CAD & PLM
181,Biometric Authentication Software,31,Security
182,Blade Servers,34,Servers
183,Block Storage Software,22,IT Infrastructure
184,Blockchain Analysis Software,22,IT Infrastructure
185,Blockchain as a Service Providers,22,IT Infrastructure
186,Blockchain Payment Systems,22,IT Infrastructure
187,Blockchain Platforms,22,IT Infrastructure
188,Blockchain Security Software,22,IT Infrastructure
189,Blockchain Software,22,IT Infrastructure
190,Blog Writing Services Providers,28,Professional Services
191,Blogger Outreach Software,24,Marketing
192,Board Management Software,7,Collaboration & Productivity
193,Book Marketing Tools,24,Marketing
194,Bookkeeping Services Providers,5,Business Services
195,Bookmark Manager Software,26,Office
196,Bot Detection and Mitigation Software,31,Security
197,Bot Platforms Software,3,Artificial Intelligence
198,Box Office Software,24,Marketing
199,Brand Advocacy Software,24,Marketing
200,Brand Intelligence Software,24,Marketing
201,Brand Protection Software,8,Commerce
202,Branding Agencies,25,Marketing Services
203,Breach and Attack Simulation (BAS) Software,31,Security
204,Brewery Software,41,Vertical Industry
205,Brightpearl Consulting Providers,28,Professional Services
206,Broadleaf Commerce Consulting Providers,28,Professional Services
207,Brokerage Management Software,41,Vertical Industry
208,Brokerage Trading Platforms,41,Vertical Industry
209,Browser Isolation Software,31,Security
210,Browser Software,26,Office
211,Budgeting and Forecasting Software,16,ERP
212,Bug Tracking Software,13,Development
213,Build Automation Software,13,Development
214,Building Design and Building Information Modeling (BIM) Software,6,CAD & PLM
215,Bundled Pay Management Software,41,Vertical Industry
216,Business Activity Monitoring Software,16,ERP
217,Business ByDesign Consulting Providers,28,Professional Services
218,Business ByDesign Resellers,40,Value-Added Resellers (VARs)
219,Business Card Scanning Software,26,Office
220,Business Continuity Management Software,17,"Governance, Risk & Compliance"
221,Business Filing and Licensing Providers,5,Business Services
222,Business Finance Providers,5,Business Services
223,Business Instant Messaging Software,7,Collaboration & Productivity
224,Business Intelligence (BI) Consulting Providers,28,Professional Services
225,Business Intelligence Software,1,Analytics
226,Business Music Software,26,Office
227,Business Plan Consulting Providers,5,Business Services
228,Business Plan Software,16,ERP
229,Business Process Management (BPM) Services,28,Professional Services
230,Business Process Management Software,23,IT Management
231,Business Process Simulation Software,23,IT Management
232,Business Scheduling Software,7,Collaboration & Productivity
233,Business Travel Management Services Providers,5,Business Services
234,Buyer Intent Data Tools,24,Marketing
