similar_insutry_id,similar_insutry_name
1,Accounting & Finance
2,Administrative & Clerical
3,Agriculture
4,Agriculture & Forestry
5,Architecture & Engineering
6,Art & Design
7,Arts
8,Business Operations
9,Construction
10,Consumer Goods
11,Corporate Services
12,Design
13,Education
14,Energy & Mining
15,Entertainment
16,Finance
17,Food Service & Restaurant
18,General Managers & Executives
19,Hardware & Networking
20,Health Care
21,Healthcare Practitioners & Technical
22,Healthcare Support
23,Human Resources
24,Information Technology
25,"Installation, Maintenance & Repair"
26,Legal
27,Maintenance
28,Manufacturing
29,Manufacturing & Production
30,Marketing & Advertising
31,Media & Communications
32,Media & Publishing
33,Military
34,Miscellaneous
35,Nonprofit
36,Personal Care
37,Protective Services
38,Public Administration
39,Public Safety
40,Real Estate
41,Recreation & Travel
42,Retail
43,Sales
44,Science & Biotech
45,Social Service
46,Software & IT Services
47,Transportation
48,Transportation & Logistics
49,Wellness & Fitness
