skill_id,skill_name,skill_type_id,skill_subtype_id
53356,Southern Blot,,
53357,Southern Data Systems TellerPro,,
53358,Southern Europe,,
53359,Southware,,
53360,Southwest Council Instructor Program (SCIP) Certification,4,
53361,Southwest Research Institute NASGRO,,
53362,Souvenirs,,
53363,Sovereign,,
53364,Sovereign Debt,,
53365,SOW,,
53366,SOX,,
53367,SOX 404,,
53368,SOX Compliancy,,
53369,Soybean,,
53370,Soziale Medien,,
53371,Soziale Netzwerke,,
53372,SP2010,,
53373,SP3D,,
53374,Spa,,
53375,Spa and Salon Management Software,,
53376,Spa management software,,
53377,Space,,
53378,Space Control,,
53379,Space Design,,
53380,Space Environment,,
53381,Space Exploration,,
53382,Space Law,,
53383,Space Management,,
53384,Space Management Software,,
53385,Space Operations,,
53386,Space Optimization,,
53387,Space Planning,,
53388,Space Policy,,
53389,Space Science,,
53390,Space Suit Development,,
53391,Space Systems,,
53392,Space Technology,,
53393,Space Weather,,
53394,Space-planning,,
53395,SpaceClaim,,
53396,Spacecraft,,
53397,spacecraft avionics,,
53398,spacecraft charging,,
53399,Spacecraft Design,,
53400,Spacegass,,
53401,Spaces,,
53402,Spacewalk,,
53403,spaCy,,
53404,SpaGuru,,
53405,Spam Filtering,,
53406,Spamassassin,,
53407,SPAN,,
53408,Spanish,,
53409,Spanish,3,
53410,Spanish (Beginner),,
53411,Spanish (proficient),,
53412,Spanish Bilingual,,
53413,Spanish Certification,4,
53414,Spanish Language,,
53415,Spanish Literature,,
53416,Spanish Teaching,,
53417,Spanish Translation,,
53418,Spanish-English,,
53419,Spanish-English-Chinese Translation,,
53420,Spanish-speaking,,
53421,Spanning Tree,,
53422,Spanning Tree Protocol (STP),,
53423,SPARC,,
53424,Spare Parts,,
53425,Spares,,
53426,Spark,,
53427,Spark ML,,
53428,Spark NLP,,
53429,Spark Plasma Sintering,,
53430,Spark Streaming,,
53431,SparkAR,,
53432,SparkML,,
53433,Sparkol Video Scribe,,
53434,sparkR,,
53435,sparkstreaming,,
53436,SPARQL,,
53437,Sparring,,
53438,Sparta Systems TrackWise,,
53439,SpartaTrac,,
53440,Sparx Enterprise Architect,,
53441,Spatial,,
53442,Spatial Analysis,,
53443,Spatial Analysis and Decision Assistance SADA,,
53444,Spatial Cognition,,
53445,Spatial Data,,
53446,Spatial Data Management,,
53447,Spatial Databases,,
53448,Spatial decision support systems SDSS software,,
53449,Spatial Design,,
53450,Spatial division multiplexing,,
53451,Spatial Ecology,,
53452,Spatial Epidemiology,,
53453,Spatial Experience Design,,
53454,Spatial Modeling,,
53455,Spatial Planning,,
53456,Spatially-explicit Modeling,,
53457,SPAW,,
53458,SPC,,
53459,spc charts,,
53460,SPCC,,
53461,SPCC Plans,,
53462,SPD,,
53463,SPDs,,
53464,Speaker Acquisition,,
53465,Speaker Development,,
53466,Speaker Placement,,
53467,Speaker Programs,,
53468,Speaker Selection,,
53469,Speaker Support,,
53470,Speaker Verification,,
53471,Speakers Bureau,,
53472,Speaking,,
53473,Speaking Engagements,,
53474,Speaks proficient Mandarin,,
53475,Spec C,,
53476,Spec Packages,,
53477,specflow,,
53478,Special Access Programs,,
53479,Special Agent,,
53480,Special Assets/Collection/Workouts,,
53481,Special Assignments,,
53482,Special Collections,,
53483,Special Education,,
53484,Special Education Certificate,4,
53485,Special Education Certificate (EC-12),4,
53486,Special Education Certificate (K-12),4,
53487,Special education educational software,,
53488,Special Education Endorsement,4,
53489,Special Education Software,,
53490,Special Education Student Information System SESIS,,
53491,Special Effects,,
53492,Special Effects Makeup,,
53493,Special Event,,
53494,Special Events,,
53495,Special Events Coordination,,
53496,Special Events Development,,
53497,Special Events Production,,
53498,Special Finance,,
53499,Special Investigations,,
53500,Special Libraries,,
53501,Special Needs Planning,,
53502,Special Needs Populations,,
53503,Special Needs Trusts,,
53504,Special Operations,,
53505,Special Orders,,
53506,Special Populations,,
53507,Special Processes,,
53508,Special Programs,,
53509,Special Projects,,
53510,Special Purpose Machines,,
53511,Special Servicing,,
53512,Special Situations,,
53513,Special Situations Investing,,
53514,Specialist Data Solutions OctoPlus,,
53515,Specialist Services,,
53516,Specialized Business Solutions Keystroke POS,,
53517,Specialized Data Systems School Office,,
53518,Specialized Data Systems Ultra Farm,,
53519,Specialized Equipment,,
53520,Specialized Programs,,
53521,Specialized Sourcing Skills,,
53522,Specialties: Search Engine Optimization (SEO) - local,,
53523,Specialty Advertising,,
53524,Specialty Coffee,,
53525,Specialty Equipment,,
53526,Specialty Events,,
53527,Specialty Items,,
53528,Specialty Lines,,
53529,Specialty Pharma,,
53530,Specialty Pharmaceutical,,
53531,Specialty Practice Management Software,,
53532,Specialty Retail,,
53533,Species Identification,,
53534,Specific expertise in the following,,
53535,Specific Gravity,,
53536,Specification Management Software,,
53537,Specification software,,
53538,Specification Writer,,
53539,Specifications,,
53540,Specified Pool,,
53541,Specimen Collection,,
53542,Specimen labeling system software,,
53543,Specimen Testing,,
