talent_city,talent_state
Lagos,Lagos
Miami,Florida
San Francisco Bay,
New York,New York
Nashville Metropolitan,
Los Angeles,California
San Francisco,California
Greater Indianapolis,
San Francisco,California
Cambridge,Massachusetts
Atlanta,Georgia
Seattle,Washington
Palo Alto,California
Saratoga Springs,New York
San Francisco Bay,
New York,New York
Dubai,Dubai
Greater Indianapolis,
Houston,Texas
Menlo Park,California
New York,New York
San Francisco,California
Austin,Texas
San Francisco Bay,
Cerritos,California
New York,New York
Reston,Virginia
Los Angeles,California
San Francisco Bay,
Providence County,Rhode Island
San Francisco,California
San Francisco,California
Boston,Massachusetts
Los Angeles,California
Detroit Metropolitan,
Los Angeles,California
New York,New York
Washington,District of Columbia
Los Angeles Metropolitan,
Miami-Fort Lauderdale,
Los Angeles,California
,
South Jordan,Utah
Kings Park,New York
San Francisco,California
London,England
Newark,Delaware
Miami,Florida
San Francisco,California
New York,New York
Mountain View,California
San Francisco,California
New York,New York
Berkeley,California
San Francisco Bay,
San Francisco,California
San Francisco,California
San Francisco Bay,
San Francisco,California
Los Angeles,California
San Francisco,California
Los Angeles,California
San Francisco,California
San Francisco,California
New York,New York
Charlotte,North Carolina
New York,New York
Des Moines,Iowa
San Francisco,California
New York,New York
Washington,District of Columbia
Sydney,New South Wales
Dallas,Texas
San Francisco,California
Denver,Colorado
San Francisco,California
Cupertino,California
San Francisco Bay,
Huntington Beach,California
New York,New York
Mountain View,California
Miami,Florida
San Francisco,California
San Francisco Bay,
New York,New York
New York,New York
San Francisco,California
San Francisco,California
San Francisco,California
San Francisco,California
Cambridge,Massachusetts
Washington,District of Columbia
San Francisco,California
New York,New York
Los Angeles,California
Richmond,Virginia
Washington Dc-Baltimore,
Miami,Florida
Boulder,Colorado
New York,New York
San Francisco,California
New York,New York
Seattle,Washington
Miami,Florida
Philadelphia,Pennsylvania
Cambridge,Massachusetts
Frederick,Maryland
San Francisco Bay,
Menlo Park,California
Chicago,Illinois
New York  Metropolitan,
Austin,Texas
Wilson,Wyoming
San Francisco,California
New York  Metropolitan,
Greater Hartford,
New York,New York
Los Angeles,California
San Diego,California
Los Angeles,California
Pittsburgh,Pennsylvania
Los Angeles Metropolitan,
Brooklyn,New York
Chicago,Illinois
Milwaukee,Wisconsin
New York,New York
San Francisco Bay,
Boston,Massachusetts
Austin,Texas
Greater Seattle,
New York,New York
Chicago,Illinois
Boston,Massachusetts
Los Angeles,California
Denver,Colorado
Los Angeles,California
Los Angeles,California
Portland,Oregon
Oceanside,California
San Francisco,California
San Francisco Bay,
Los Angeles,California
