talent_country,company_country
United States,United States
Taiwan,Taiwan
United States,United States
United States,South Korea
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Canada
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
,
United States,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Iran
United States,Israel
United States,United States
United States,United States
United States,Israel
United States,United States
United States,United States
Argentina,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Canada
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Canada
Chile,Chile
United States,United States
United States,United States
United States,Poland
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,
United States,United States
United States,United States
United States,United States
,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Switzerland
United States,United States
United States,United States
United States,United States
United States,United States
United States,Ireland
United States,United States
United States,United States
United States,India
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,France
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Bermuda
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,South Korea
Philippines,Singapore
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
,
United States,United States
United States,United States
United States,United States
United States,United States
United States,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Spain
United States,United States
United States,Belize
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Russian Federation
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,
United States,
United States,United States
,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,
United States,United States
United States,United States
United States,United States
,
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
Serbia,Russian Federation
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
,
United States,United States
United States,United States
United States,Australia
United States,Australia
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,Israel
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
,
United States,United Kingdom
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
United States,United States
